title,author
A confidence map and pixel-based weighted correlation for PRNU-based camera identification.,Alper Korkmaz
Knowledge Transfer in Information Security Capacity Building for Community-Based Organizations.,Fabio Nobile
The Game of Hacking Academic Websites.,Dan Suciu
"Erratum to ""Time Domain Calibration Method of Open-Ended Coaxial Probe in Dielectric Measurement"".",Dinesh Manocha
Autonomous Population Regulation Using a Multi-Agent System in a Prey-Predator Model That Integrates Cellular Automata and the African Buffalo Optimization Metaheuristic.,E. Lerzan Örmeci
Online detection and removal of eye blink artifacts from electroencephalogram.,Dinesh Manocha
"Reconstruction of the Infection Curve for SARS Epidemic in Beijing, China Using a Back-Projection Method.",Arthur J. Davidson
Graph decomposition with applications to subdivisions and path systems modulo ,Chi-Sang Jung
A Formal Approach to Incremental Converter Synthesis for System-on-Chip Design.,Hai-Wei Sun
Pruning Strategy on Adaptive Rule Model by Sorting Utility Items.,Andrzej Omieljanowicz
Stability of Non-constant Equilibrium Solutions for Bipolar Full Compressible Navier-Stokes-Maxwell Systems.,Daniela Guaiana
Static Scheduling for Dynamic Dataflow Machines.,C. G. Parthipan
Geometric Mean for Subspace Selection.,Vera Tilson
Accelerating Multipattern Matching on Compressed HTTP Traffic.,Andrzej Omieljanowicz
Modular Simulation-Based Physical and Emotional Assessment of Ambient Intelligence in Traffic.,Alper Korkmaz
Group consensus for heterogeneous multi-agent systems with parametric uncertainties.,Kwok-Kai Soo
Traffic Hazards on the Superhighway.,Daniel Cullina
The Relationship Between Trust and Use Choice in Human-Robot Interaction.,Kwok-Kai Soo
Fast approximate solution of Bloch equation for simulation of RF artifacts in Magnetic Resonance Imaging.,Dariusz Fabianowski
Fuzzy logic control of three-pole active magnetic bearing system.,Dok Nam Lee
Stability of digital filters subject to external interference and state-delay.,M. I. Cohen
Quantitative evaluation of fiber tractography with a Delaunay triangulation-based interpolation approach.,Oliver Marschollek
Highly Specific and Cost-Efficient Detection of ,Ahmed M. Mohamed
LED Half-Power Angle Optimization for Ultra-Dense Indoor Visible Light Communication Network Deployment.,Guangyuan Pan
Definitions of Managed Objects for SNA Data Link Control (SDLC) using SMIv2.,Le Deng
Optimal Data Rate for Reliable Packet Communications in Laplace Noise.,Duyan Bi
How can Social Herding Enhance Cooperation?,Ahmed M. Mohamed
A Predictive Control-Based Approach to Networked Hammerstein Systems: Design and Stability Analysis.,Laurent Chupin
A Novel Process Network Model for Interacting Context-Aware Web Services.,Ilan Abramovici
Algorithms for Shape Analysis of Contours and Waveforms.,Danni Zhu
FEA Modeling of Soft Tissue Interaction for Active Needles With a Rotational Tip Joint.,Chia-Lung Yeh
Design of WAMS-Based Multiple HVDC Damping Control System.,Cynthia Jane Solomon
Probabilistic constraint tightening techniques for trajectory planning with predictive control.,K. R. Ramakrishnan
"Mechanisms underlying decoding at 7 T: Ocular dominance columns, broad structures, and macroscopic blood vessels in V1 convey information on the stimulated eye.",Anton Schiela
An Adaptive Piecewise Harmonic Analysis Method for Reconstructing Multi-Year Sea Surface Chlorophyll-A Time Series.,Akira Suzuki
Syndicated crime and international terrorism: the lessons of '9-11'.,Dariusz Fabianowski
A Theory of Restricted Quantification I.,Luca Schenato 0001
Intermodulation performance of biased-nonlinearities.,Hai-Wei Sun
Magnetothermoelasticity with two relaxation times in conducting medium with variable electrical and thermal conductivity.,Hen-Wai Tsao
Query Optimization in Star Computer Networks.,Chi-Sang Jung
Convergence of Fourier-Wavelet Models for Gaussian Random Processes.,Wirt Atmar
Growth Theorems for a Subclass of Strongly Spirallike Functions.,Haowei Xu
QoS-Aware Middleware for Web Services Composition.,Fabian Rothmaier
Stepwise structural verification of cyclic workflow models with acyclic decomposition and reduction of loops.,Andrew J. Hinchley
Society Supports Software Engineering PE Examination.,Vera Tilson
Issues of Importance in Designing GaAs Microcomputer Systems.,Gabriel M. Silberman
Well-posedness of the generalized Navier-Stokes equations with damping.,Le Deng
A Hybrid Delay Design-for-Testability for Nonseparable RTL Controller-Data Path Circuits.,Robert Finger
Short-Term Electric Load Forecasting With Sparse Coding Methods.,Hady Pranoto
Security performance evaluation for biometric template protection techniques.,Dinesh Manocha
Linear and DF joint detectors for DS-CDMA communications using periodic long codes.,Anton Schiela
An Optimal Control Problem in Polyconvex Hyperelasticity.,Heike Siebert
基于时变加权马尔科夫链的网络异常检测模型 (Network Anomaly Detection Model Based on Time-varying Weighted Markov Chain).,C. G. Parthipan
"An Empirical Investigation of Digital Content Characteristics, Value, and Flow.",Chaojiang Wu
Maximum Matchings in General Graphs Through Randomization.,Chi-Wang Shu
Improved monarch butterfly optimization for unconstrained global search and neural network training.,Qiqi Wang
Public Strategies for Artificial Intelligence: Which Value Drivers?,Laurent Chupin
Efficient priority-first search maximum-likelihood soft-decision decoding of linear block codes.,Cynthia Jane Solomon
Privacy-preserving network forensics.,Laurent Chupin
Animal behavior as a paradigm for developing robot autonomy.,Ming Zhang
Free at Last: The Future of Peer-Reviewed Journals.,Huiqin Xie
Weak Galerkin finite element method with second-order accuracy in time for parabolic problems.,Chaojiang Wu
Threshold Effects of the Network Structure in the Relationship Between Patent PageRank and Patent Value.,Theodosios Pavlidis
Financial equilibrium with asymmetric information and random horizon.,Andrzej Omieljanowicz
NFT Certificates and Proof of Delivery for Fine Jewelry and Gemstones.,Dinesh Manocha
Advances in Librarianship (Volume 33).,Karl-Heinz Best
Development of a Smart Helmet for Strategical BCI Applications.,E. Lerzan Örmeci
The Correlation Between Bubble-Enhanced HIFU Heating and Cavitation Power.,Abbas Heydari
∂̄-dressing method for the coupled Gerdjikov-Ivanov equation.,Heike Siebert
What can software engineers learn from manufacturing to improve software process and product?,Naohisa Komatsu
Existence of 2m-1 Positive Solutions for Sturm-Liouville Boundary Value Problems with Linear Functional Boundary Conditions on the Half-Line.,Aida Pliuskeviciene
The First Summer School on Ubiquitous and Pervasive Computing.,E. Lerzan Örmeci
Exploiting GSM short message service for ubiquitous accessing.,Aida Pliuskeviciene
Energy Efficient Reservation-Based Cluster Head Selection in WSNs.,Robert Finger
QPRD: QoS-Aware Peering Routing Protocol for Delay-Sensitive Data in Hospital Body Area Network.,Naohisa Komatsu
Accounting for Dynamic Diversity Among Child Users of IoT.,Hen-Wai Tsao
A ZVS APWM Half-Bridge Parallel Resonant DC-DC Converter With Capacitive Output.,Alper Korkmaz
Unique Normal Form and the Associated Coefficients for a Class of Three-Dimensional Nilpotent Vector Fields.,Aku Riihelä
Distance Transformation for Network Design Problems.,Guangyuan Pan
Tighter constant-factor time hierarchies.,M. I. Cohen
An Instructional Feedback Technique for Teaching Project Management Tools Aligned with PMBOK.,Amir Shmuel
Annotating and modeling empathy in spoken conversations.,Cynthia Jane Solomon
A fully integrated feedback AGC loop for ZigBee (IEEE 802.15.4) RF transceiver applications.,Daniel Troy
A large-scale empirical study of P3P privacy policies: Stated actions vs. legal obligations.,Naohisa Komatsu
An Efficient Hyperspectral Image Retrieval Method: Deep Spectral-Spatial Feature Extraction with DCGAN and Dimensionality Reduction Using ,Kwok-Kai Soo
G-stack modulated probe intensities on expression arrays - sequence corrections and signal calibration.,Hidehisa Yoshida
Accelerating Density Peak Clustering Algorithm.,Aku Riihelä
Automatic scaling range selection for long-range dependent network traffic.,Astrid Tannert
Enhanced Marathi Speech Recognition Facilitated by Grasshopper Optimisation-Based Recurrent Neural Network.,Astrid Tannert
Reports on the AAAI 1999 Workshop Program.,John T. Fredricksen
Organisation innovation and entrepreneurship: the role of the national laboratories in promoting industrial development.,Cynthia Jane Solomon
Towards predictable wireless cyber-physical applications.,Guangyuan Pan
Productive Use of Failure in Inductive Proof.,Bita Alipasandi
An Intelligent Integrated Approach for Efficient Demand Side Management With Forecaster and Advanced Metering Infrastructure Frameworks in Smart Grid.,Danni Zhu
To swim or not to swim: A population-level model of Xenopus tadpole decision making and locomotor behaviour.,Dariusz Fabianowski
Human Activity Recognition on Microcontrollers with Quantized and Adaptive Deep Neural Networks.,S. Twomey
A fast seed detection using local geometrical feature for automatic tracking of coronary arteries in CTA.,Fabian Rothmaier
Modelling Site Index in Forest Stands Using Airborne Hyperspectral Imagery and Bi-Temporal Laser Scanner Data.,Chih-Yuan Yao
A review on manipulation skill acquisition through teleoperation-based learning from demonstration.,S. Twomey
Fine-Grained Visual-Textual Representation Learning.,Anita Schöbel
Realtime Simulation of Thin-Shell Deformable Materials Using CNN-Based Mesh Embedding.,Akira Suzuki
Research on Sieving Performance of Flip-Flow Screen Using Two-Way Particles-Screen Panels Coupling Strategy.,Danni Zhu
Supposed maximum information for comprehensible representations in SOM.,Bettina Klaus
Basic Difference Between Brain and Computer: Integration of Asynchronous Processes Implemented as Hardware Model of the Retina.,David T. Wong
Implementation of Machine Learning for Autonomic Capabilities in Self-Organizing Heterogeneous Networks.,Amir Bozorgzadeh
Multichannel bandwidth allocation in a broadband packet switch.,Lukasz Maksymiuk
On the Role of Land Surface Temperature as Proxy of Soil Moisture Status for Drought Monitoring in Europe.,Mazen O. Hasna
"Sharing, Liking, Commenting, and Distressed? The Pathway Between Facebook Interaction and Psychological Distress.",Dok Nam Lee
On Recovery of Sparse Signals With Prior Support Information via Weighted ℓₚ-Minimization.,Bita Alipasandi
Internal Model Control of Permanent Magnet Synchronous Motor Using Support Vector Machine Generalized Inverse.,Björn Berghausen
Parameter-Free Attention in fMRI Decoding.,Astrid Tannert
The user of the future: Reimagining how we think about information.,Erik Meineche Schmidt
Enabling data science in the Gaia mission archive: The present-day mass function and age distribution.,Hidehisa Yoshida
A survey of transformer-based multimodal pre-trained modals.,Dok Nam Lee
A mixed mimetic spectral element model of the rotating shallow water equations on the cubed sphere.,Akira Suzuki
Coordinating Programs in the Network of Tasks Model.,K. R. Ramakrishnan
On multiserver feedback retrial queues with balking and control retrial rate.,David Dagan Feng
Approximability in the GPAC.,Dok Nam Lee
"Analysis of bulk queue with unreliable service station, second optional repair, N-policy multiple vacation, loss and immediate feedback in production system.",Björn Berghausen
Enhancing Information Retrieval Through Statistical Natural Language Processing: A Study of Collocation Indexing.,Di Li 0003
Mass Segmentation in Automated 3-D Breast Ultrasound Using Adaptive Region Growing and Supervised Edge-Based Deformable Model.,Cynthia Jane Solomon
Knowledge Management Research Initiatives in North America.,Hai-Wei Sun
Sensitive Functions and Approximate Problems.,Dok Nam Lee
Geometrical Bounds for Variance and Recentered Moments.,Vera Tilson
Algorithm 300: Coulomb wave functions.,Hen-Wai Tsao
"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics.",Le Deng
Assessment of changes in urban green spaces of Mashad city using satellite data.,E. Lerzan Örmeci
Improved likelihood ratio test based voice activity detector applied to speech recognition.,Arun Mittal
Explicit Runge-Kutta Methods Combined with Advanced Versions of the Richardson Extrapolation.,C. G. Parthipan
A novel artificial neural network method for biomedical prediction based on matrix pseudo-inversion.,Theodore Hailperin
Improved Speech Enhancement Considering Speech PSD Uncertainty.,Daniela Guaiana
"Information Society: Analyzing Problems and Prospects of Using Information Technologies, Computers and Communication Networks.",Amir Shmuel
An integrated model to evaluate water-energy-food nexus at a household scale.,Laurent Chupin
A Quantum-Proof Non-Malleable Extractor With Application to Privacy Amplification against Active Quantum Adversaries.,Mazen O. Hasna
Fault-tolerant aggregation: Flow-Updating meets Mass-Distribution.,Chi-Wang Shu
Multi-objective hierarchical algorithms for restoring Wireless Sensor Network connectivity in known environments.,Lukasz Maksymiuk
A Novel Dual Iterative Q-Learning Method for Optimal Battery Management in Smart Residential Environments.,David Dagan Feng
Portable and Airborne Small Footprint LiDAR: Forest Canopy Structure Estimation of Fire Managed Plots.,Dok Nam Lee
Context Effect in the Categorical Perception of Mandarin Tones.,Arvind Ramanathan
Resultants over commutative idempotent semirings I: Algebraic aspect.,Constant Solimando
On an algorithm for Vision-based hand gesture recognition.,Dok Nam Lee
New techniques for untestable fault identification in sequential circuits.,Guangyuan Pan
A weighted strategy to handle likelihood uncertainty in Bayesian inference.,Hai-Wei Sun
Converting scanned images of seismic reflection data into SEG-Y format.,Gabriel M. Silberman
TCP Pegas: A PSO-based improvement over TCP Vegas.,Hen-Wai Tsao
Real controllability/stabilizability radius of LTI systems.,David Perry
Benchmarking HEp-2 specimen cells classification using linear discriminant analysis on higher order spectra features of cell shape.,Ilan Abramovici
Link-Adaptive Mapper Designs for Space-Shift-Keying-Modulated MIMO Systems.,Amaro de Sousa
A library network model.,Lianjun Xiao
An efficient syntactic approach to structural analysis of on-line handwritten mathematical expressions.,David Alan Grier
Noise Localization Method for Model Tests in a Large Cavitation Tunnel Using a Hydrophone Array.,Huijun Wu
Area- and power-efficient iterative single/double-precision merged floating-point multiplier on FPGA.,David Alan Grier
K-means clustering analysis and evaluation for internet of acoustic environment characteristics.,Jiang Ma
A Study of Search Intermediary Working Notes: Implications for IR System Design.,Daniela Guaiana
Downlink Resource Sharing in Multichannel Device-to-Device Communication.,Adriano Meta
Association between triallelic polymorphism of the serotonin transporter and [,Anna Maria Paganoni
Low gate interface traps AlGaN/GaN HEMTs using a lattice matched ZrZnO transparent gate design.,Kwok-Kai Soo
Spike-based compact digital neuromorphic architecture for efficient implementation of high order FIR filters.,Mazen O. Hasna
Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.,Hen-Wai Tsao
A finite characterization of,Danni Zhu
On weighted unbalanced linguistic aggregation operators in group decision making.,Andrzej Omieljanowicz
Entanglement cost of generalised measurements.,Chaojiang Wu
A method to optimize evacuation instructions.,Erik Meineche Schmidt
FPGA-Aware Scheduling Strategies at Hypervisor Level in Cloud Environments.,Andrew J. Hinchley
tvReg: Time-varying Coefficients in Multi-Equation Regression in R.,Theodosios Pavlidis
PANFIS: A Novel Incremental Learning Machine.,David Perry
Advancing the Boundaries of Higher Education in Arizona Using the World Wide Web.,Gabriel M. Silberman
An efficiently computable subgraph pattern support measure: counting independent observations.,Lianjun Xiao
Review.,John T. Fredricksen
A neurophysiological approach to assess training outcome under stress: A virtual reality experiment of industrial shutdown maintenance using Functional Near-Infrared Spectroscopy (fNIRS).,Hen-Wai Tsao
An Empirical Study of Technological Factors Affecting Cloud Enterprise Resource Planning Systems Adoption.,Adriano Meta
LexBFS-orderings and powers of chordal graphs.,E. Lerzan Örmeci
LEDGERBENCH: A Framework for Benchmarking Ledger Databases.,Oliver Marschollek
DEM- and GIS-Based Analysis of Soil Erosion Depth Using Machine Learning.,Di Li 0003
On strong edge-colouring of subcubic graphs.,N. C. Simpson
Confidence intervals for an ordinal effect size measure based on partially validated series.,Daniel Troy
Novel technique for preprocessing high dimensional time-course data from DNA microarray: mathematical model-based clustering.,Lianjun Xiao
Solitary wave simulations of Complex Modified Korteweg-de Vries Equation using differential quadrature method.,Duyan Bi
Fractional wavelet transform based diagnostic system for brain tumor detection in MR imaging.,Arturo Molina 0001
Waveform Interpolation-Based Speech Analysis/Synthesis for HMM-Based TTS Systems.,Adel El-Faraskoury
Anti-Multipath Orthogonal Chirp Division Multiplexing for Underwater Acoustic Communication.,Anna Maria Paganoni
Book review.,André Raspaud
Physics-Informed Hyperspectral Remote Sensing Image Synthesis With Deep Conditional Generative Adversarial Networks.,Babak Farzad
High-tech indicators: assessing the competitiveness of selected European countries.,Amir Bozorgzadeh
A serial inventory system with supplier selection and order quantity allocation.,Vera Tilson
"Multitarget likelihood computation for track-before-detect applications with amplitude fluctuations of type swerling 0, 1, and 3.",Dariusz Fabianowski
Clinical Outcome Prediction Using Single-Cell Data.,Chia-Lung Yeh
A martingale Kronecker lemma and parameter estimation for linear systems.,Roy Edgar Hansen
Coupling fuzzy clustering and cellular automata based on local maxima of development potential to model urban emergence and expansion in economic development zones.,E. A. Mary Anita
Particle Swarm Optimization With Interswarm Interactive Learning Strategy.,Anita Schöbel
VSAT data networks.,Roy Edgar Hansen
Decentralized Consensus Optimization Based on Parallel Random Walk.,N. C. Simpson
Determination of optimal order-up to level quantities for dependent spare parts using data mining.,Di Li 0003
A Novel 3D Indoor Localization Scheme Using Virtual Access Point.,Chih-Yuan Yao
"Pretense, Counterfactuals, and Bayesian Causal Models: Why What Is Not Real Really Matters.",Robert Finger
On measuring the system coherency of quadratically nonlinear systems.,Ahmed M. Mohamed
Directional Motion on Water Surface With Keel Extruded Footpads Propelled by Marangoni Effect.,Guangyuan Pan
Adaptive learning region importance for region-based image retrieval.,Huijun Wu
Big vs little core for energy-efficient Hadoop computing.,Osama Rashed Sayed
3D IMPRESS vision expert system for automated construction of three-dimensional image processing procedures and its performance evaluation.,Adel El-Faraskoury
The relationship between sustainable business management and competitiveness: research trends and challenge.,David T. Wong
Adaptive Geometry Image.,Ilan Abramovici
Estimation of fiber orientation and spin density distribution by diffusion deconvolution.,Vera Tilson
QoE Vadis? (Dagstuhl Perspectives Workshop 16472).,Amir Bozorgzadeh
UWB Channel Modeling in Roadway and Indoor Parking Environments.,Anita Schöbel
"On the optimal, fair and channel-aware cognitive radio network reconfiguration.",Akira Suzuki
Indoor Magnetic Signature Based Localization Algorithm without Person-Dependent Parameter Calibration.,Arvind Ramanathan
System Dynamics and Tradeoffs in Radio Astronomical Data Transport of an Integrated Satellite Communication and Radio Astronomy System.,Daniel Troy
Online Stock Price Prediction Based on Interval Data Analysis.,Adriano Meta
Combat Models for RTS Games.,Daniel Troy
Topologic Proofs of Some Combinatorial Theorems.,David Dagan Feng
A Semantic web approach to handling soft constraints in virtual organisations.,Keecheon Kim
Effects of Target Expansion on Selection Performance in Older Computer Users.,Christopher I. Amos
Symbol-by-Symbol MAP Decoding Algorithm for High-Rate Convolutional Codes That Use Reciprocal Dual Codes.,Lianjun Xiao
A generic framework for heap and value analyses of object-oriented programming languages.,Wirt Atmar
Server-Aided Fine-Grained Access Control Mechanism with Robust Revocation in Cloud Computing.,Huijun Wu
Fingerprint classification using a feedback-based line detector.,Arun Mittal
On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.,M. I. Cohen
The Questioning Turing Test.,Abbas Heydari
A spatial decision support tool for estimating population catchments to aid rural and remote health service allocation planning.,Dinesh Manocha
Science in the Cloud: Allocation and Execution of Data-Intensive Scientific Workflows.,Chaojiang Wu
Local stability analysis for continuous-time Takagi-Sugeno fuzzy systems with time delay.,Naohisa Komatsu
Characterization of unlabeled level planar trees.,Theodore Hailperin
A Study of Chaotic Maps Producing Symmetric Distributions in the Fish School Search Optimization Algorithm with Exponential Step Decay.,Bita Alipasandi
Coalition-Based Cooperative Packet Delivery under Uncertainty: A Dynamic Bayesian Coalitional Game.,Dariusz Fabianowski
Recognition of abdominal organs using 3D mathematical morphology.,Chia-Lung Yeh
Editorial Foreword.,Vera Tilson
Properties of ,Abbas Heydari
Rate-distortion theory applied to automatic object recognition.,Adel El-Faraskoury
Distributed proportion-integration-derivation formation control for second-order multi-agent systems with communication time delays.,Aida Pliuskeviciene
An Extremal Problem on Sparse 0-1 Matrices.,Daniel Troy
Hybrid Reduced-Complexity Multiuser Detector for CDMA Communication Systems.,Arturo Molina 0001
Multipath Routing for Video Streaming inWireless Mesh Networks.,Adriano Meta
Improved field localization in transcranial magnetic stimulation of the brain with the utilization of a conductive shield plate in the stimulator.,Chaojiang Wu
Observer-Based Consensus Protocol for Directed Switching Networks With a Leader of Nonzero Inputs.,Moulay A. Barkatou
Private and rateless adaptive coded matrix-vector multiplication.,Vera Tilson
In silico evaluation of the influence of the translocon on partitioning of membrane segments.,Alper Korkmaz
Privacy-Preserving Analysis for Remote Video Anomaly Detection in Real Life Environments.,Louise A. Mawn
Mercer and Wu-Srivastava generalisations of Steffensen's inequality.,S. Twomey
Bridging gaps in handoffs: A continuity of care based approach.,Arvind Ramanathan
Editorial: Supporting healthcare reform with augmented electronic medical records system.,Dok Nam Lee
A Smart Work Performance Measurement System for Police Officers.,Anton Schiela
The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.,Qiqi Wang
MR-ELM: a MapReduce-based framework for large-scale ELM training in big data era.,Kanad Chakraborty
On the non-idealness of cyclotomic families of pairing-friendly elliptic curves.,David Alan Grier
A Novel Emulation Model of the Cardiac Conduction System.,Constant Solimando
A group key-policy attribute-based encryption with partial outsourcing decryption in wireless sensor networks.,Huiqin Xie
Learning to detect and understand drug discontinuation events from clinical narratives.,C. G. Parthipan
Sampling issues in quantitative analysis of dendritic spines morphology.,Jan Camenisch
Landscape and Dynamics of the Transcriptional Regulatory Network During Natural Killer Cell Differentiation.,Amaro de Sousa
Absolutely expedient imitative behavior.,Dok Nam Lee
Seawater Battery-Based Wireless Marine Buoy System With Battery Degradation Prediction and Multiple Power Optimization Capabilities.,Arun Mittal
A multi-granularity heuristic-combining approach for censorship circumvention activity identification.,Andrew J. Hinchley
Prosody-driven Sentence Processing: An Event-related Brain Potential Study.,Daniela Guaiana
KeyWords Plus - Algorithmic Derivative Indexing.,Wirt Atmar
Learning Security QA from the Vulnerability Researchers.,Chi-Wang Shu
Feedback control for rotational movements in feature space.,Jan Camenisch
"Theoretical calculations of extraction selectivity: Alkali cation complexes of calix[4]-bis-crown6 in pure water, chloroform, and at a water/chloroform interface.",Qiqi Wang
Adaptive Particle Filter for Data Fusion of Multiple Cameras.,Oliver Marschollek
A method to track cortical surface deformations using a laser range scanner.,Karl-Heinz Best
Faster Approximate Diameter and Distance Oracles in Planar Graphs.,Dan Suciu
Communication Quality Prediction for Internet of Vehicle (IoV) Networks: An Elman Approach.,Wirt Atmar
WPS orchestration using the Taverna workbench: The eScience approach.,David Alan Grier
ReAlignerV: Web-based genomic alignment tool with high specificity and robustness estimated by species-specific insertion sequences.,Hen-Wai Tsao
Does Information Technology Investment Influence a Firm's Market Value? A Case of Non-Publicly Traded Healthcare Firms.,Naohisa Komatsu
Epistemology and economics.,Kanad Chakraborty
Towards a logical reconstruction of structured modeling.,Dan Suciu
Stepping out of the shallows.,Akira Suzuki
Energy-saving distributed monitoring-based firefly algorithm in wireless sensors networks.,Huijun Wu
Recent trends indicate rapid growth of nature-inspired optimization in academia and industry.,Le Deng
"Corrigendum to ""Stable matchings and preferences of couples"" [J. Econ. Theory 121 (1) (2005) 75-106].",M. I. Cohen
A Residual Analysis-Based Improved Particle Filter in Mobile Localization for Wireless Sensor Networks.,Oliver Marschollek
Enhance VR: A Multisensory Approach to Cognitive Training and Monitoring.,Danni Zhu
New Depth From Focus Filters in Active Monocular Vision Systems for Indoor 3-D Tracking.,Adel El-Faraskoury
DVB - vom Digitalen Fernsehen zum Datenrundfunk.,Louise A. Mawn
Dynamic QoS control of multimedia applications based on ,Christopher I. Amos
"Survey on test case generation, selection and prioritization for cyber-physical systems.",Naohisa Komatsu
Internet of vehicle's resource management in 5G networks using AI technologies: Current status and trends.,David Perry
Asymptotically optimal quantizers for detection of I.I.D. data.,Aku Riihelä
Moby: A Blackout-Resistant Anonymity Network for Mobile Devices.,Adel El-Faraskoury
Processing of Noise Radar Waveforms using Block Least Mean Squares Algorithm.,Heike Siebert
Water Management in Agriculture: A Survey on Current Challenges and Technological Solutions.,Oliver Marschollek
Automatic analysis of electronic digital circuits using list processing.,David Dagan Feng
Expected model for portfolio selection with random fuzzy returns.,E. A. Mary Anita
Modified Magnitude-Phase Spectrum Information for Spoofing Detection.,Hai-Wei Sun
Reduced Prediction Saturation and View Effects for Estimating the Leaf Area Index of Winter Wheat.,Hady Pranoto
Calculation and Analysis of Constant Stiffness Space for Redundant Cable-Driven Parallel Robots.,E. Lerzan Örmeci
Scalable Parallel and Distributed Expert Database Systems with Predictive Load Balancing.,Dok Nam Lee
Region segmentation using information divergence measures.,Daniel Troy
Digital Earth: a new challenge and new vision.,Arthur J. Davidson
A new approach for interpreting Random Forest models and its application to the biology of ageing.,John T. Fredricksen
A High-Efficiency Low-Voltage CMOS Rectifier for Harvesting Energy in Implantable Devices.,Duyan Bi
Advanced manufacturing systems: supply-demand matching of manufacturing resource based on complex networks and Internet of Things.,Luca Schenato 0001
Assessment for soil improvement benefit of land rehabilitation in dump areas.,Amir Shmuel
Sequent calculi for skeptical reasoning in predicate default logic and other nonmonotonic logics.,Aida Pliuskeviciene
Transorbital target localization with augmented ophthalmologic surgical endoscopy.,Hai-Wei Sun
Pulsar: A resource-control architecture for time-critical service-oriented applications.,Osama Rashed Sayed
Cyber Crime: How Technology Makes it Easy and What to do About it.,Theodore Hailperin
Error analysis for a non-standard class of differential quasi-interpolants.,Chih-Yuan Yao
Improved Robust Video Saliency Detection Based on Long-Term Spatial-Temporal Information.,Karl-Heinz Best
On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.,Alper Korkmaz
Issues in International Public Data Networking.,Arun Mittal
"Automated detection and localisation of duplicated regions affected by reflection, rotation and scaling in image forensics.",Qiqi Wang
An effective fusion defogging approach for single sea fog image.,Roy Edgar Hansen
Factors Influencing Continuous Breath Signal in Intubated and Mechanically-Ventilated Intensive Care Unit Patients Measured by an Electronic Nose.,Diogo Poças
Mobile Applikationen im Recruiting und Personalmarketing.,Robert Finger
An Advanced Voltage Support Scheme Considering the Impact of Zero-Sequence Voltage Under Microgrid Faults Using Model Predictive Control.,Adel El-Faraskoury
An iterative approach for sparse direction-of-arrival estimation in co-prime arrays with off-grid targets.,Di Li 0003
An Optimized Cost Flow Algorithm to Spread Cells in Detailed Placement.,Chaojiang Wu
Meeting Food Quality and Safety Requirements with Active and Intelligent Packaging Techniques.,David Dagan Feng
Finding Rectilinear Paths Among Obstacles in a Two-Layer Interconnection Model.,Luca Schenato 0001
How Attention Changes in Response to Incentives.,Andrzej Omieljanowicz
Real-time event detection using recurrent neural network in social sensors.,Le Deng
Contextual Factors in the Appearance of Consumer Robots: Exploratory Assessment of Perceived Anxiety Toward Humanlike Consumer Robots.,Aku Riihelä
Structural Analysis of Cloud Classifier.,Dok Nam Lee
A Unified Algebraic Approach to 2-D and 3-D Motion Segmentation and Estimation.,C. G. Parthipan
Semantics of Multiplicative Propositional Signed Sequent Calculi with Structural Rules.,Laurent Chupin
Modeling Coverage in Camera Networks: A Survey.,Dan Suciu
An attitude-driven web consensus support system for heterogeneous group decision making.,E. A. Mary Anita
The game coloring number of pseudo partial ,Chaojiang Wu
An enhanced AHP-TOPSIS-based clustering algorithm for high-quality live video streaming in flying ad hoc networks.,Huiqin Xie
SAR Target Configuration Recognition via Two-Stage Sparse Structure Representation.,Naohisa Komatsu
Syntax and Semantics: A Categorical View,Naohisa Komatsu
Chapter Two - Integrated platforms for blockchain enablement.,Lukasz Maksymiuk
Evaluating the user-centredness of development organisations: conclusions and implications from empirical usability capability maturity assessments.,Kwok-Kai Soo
Central versus local multiple stage inventory planning: An analysis of solutions.,Babak Farzad
Feature Extraction in Character Recognition with Associative Memory Classifier.,Dok Nam Lee
Editorial pointers.,Adel El-Faraskoury
Distributed Nesterov Gradient and Heavy-Ball Double Accelerated Asynchronous Optimization.,E. A. Mary Anita
Intra-Cluster Distance Minimization in DNA Methylation Analysis Using an Advanced Tabu-Based Iterative $k$k-Medoids Clustering Algorithm (T-CLUST).,Guangyuan Pan
Linear Complexity of New Binary Sequence Derived From Polynomial Quotients Modulo p in General Case and Their Generalizations.,Amir Shmuel
Steganographic transmission in optical networks with the use of direct spread spectrum technique.,Abbas Heydari
Further results on time-free P systems.,Arthur J. Davidson
Application of the Generalized Hamiltonian Dynamics to Spherical Harmonic Oscillators.,Haowei Xu
Convergence and steady-state analysis of the normalized least mean fourth algorithm.,Amaro de Sousa
Practical Verifiable Encryption and Decryption of Discrete Logarithms.,N. C. Simpson
Solving quadratic programs to high precision using scaled iterative refinement.,Astrid Tannert
LMI conditions for global asymptotic stability results for neutral-type neural networks with distributed time delays.,Danni Zhu
A quantum related-key attack based on the Bernstein-Vazirani algorithm.,Dariusz Fabianowski
Optimal Power for Microwave Slotted Probes in Ablating Different Hepatocellular Carcinoma Sizes.,Louise A. Mawn
